airline_name,airport_name,average_delay
AA,SDF,81.7
AS,ADK,24
B6,BUR,43.41935483870968
DL,BGR,32.27272727272727
EV,MCI,70.94285714285714
F9,UST,81.14285714285714
HA,PDX,24.870967741935484
NK,RSW,40.875
OO,CAE,66.5
UA,FAI,116.86666666666666
VX,SAN,31.41340782122905
WN,SFO,28.169609079445145
